visitor_id,nb_sessions,avg_days_between_sessions,nb_unique_documents,engagement_score,is_disengaged
"1,70601E+18",3,0.3333333333333333,1,0.335,0
"1,70602E+18",1,0.0,1,0.333,0
"1,70603E+18",1,0.0,1,0.333,0
"1,70604E+18",1,0.0,1,0.333,0
"1,70605E+18",1,0.0,1,0.333,0
"1,70609E+18",1,0.0,1,0.333,0
"1,70611E+18",1,0.0,1,0.333,0
"1,70612E+18",1,0.0,1,0.333,0
"1,70614E+18",1,0.0,1,0.333,0
"1,70618E+18",1,0.0,1,0.333,0
"1,70619E+18",1,0.0,1,0.333,0
"1,7061E+18",1,0.0,3,0.347,0
"1,70626E+18",1,0.0,1,0.333,0
"1,70628E+18",1,0.0,1,0.333,0
"1,70629E+18",1,0.0,1,0.333,0
"1,70631E+18",1,0.0,1,0.333,0
"1,70634E+18",1,0.0,2,0.34,0
"1,70635E+18",1,0.0,1,0.333,0
"1,70638E+18",1,0.0,2,0.34,0
"1,7063E+18",1,0.0,1,0.333,0
"1,70641E+18",2,4.5,2,0.297,1
"1,70642E+18",1,0.0,1,0.333,0
"1,70644E+18",1,0.0,1,0.333,0
"1,70645E+18",1,0.0,1,0.333,0
"1,70646E+18",1,0.0,1,0.333,0
"1,70647E+18",1,0.0,1,0.333,0
"1,70648E+18",1,0.0,1,0.333,0
"1,70652E+18",1,0.0,1,0.333,0
"1,70653E+18",7,1.0,4,0.359,0
"1,70654E+18",1,0.0,1,0.333,0
"1,70655E+18",1,0.0,1,0.333,0
"1,70656E+18",1,0.0,2,0.34,0
"1,70665E+18",1,0.0,1,0.333,0
"1,70669E+18",1,0.0,1,0.333,0
"1,7066E+18",1,0.0,1,0.333,0
"1,70671E+18",1,0.0,1,0.333,0
"1,70674E+18",1,0.0,1,0.333,0
"1,70677E+18",1,0.0,1,0.333,0
"1,70678E+18",1,0.0,1,0.333,0
"1,7067E+18",1,0.0,1,0.333,0
"1,70681E+18",1,0.0,1,0.333,0
"1,70687E+18",1,0.0,1,0.333,0
"1,70689E+18",1,0.0,1,0.333,0
"1,7068E+18",1,0.0,2,0.34,0
"1,70691E+18",1,0.0,1,0.333,0
"1,70693E+18",1,0.0,1,0.333,0
"1,70695E+18",1,0.0,1,0.333,0
"1,706E+18",1,0.0,1,0.333,0
"1,70706E+18",1,0.0,2,0.34,0
"1,70707E+18",1,0.0,1,0.333,0
"1,70713E+18",1,0.0,1,0.333,0
"1,70714E+18",2,0.0,1,0.336,0
"1,70715E+18",1,0.0,1,0.333,0
"1,70716E+18",1,0.0,1,0.333,0
"1,70717E+18",1,0.0,1,0.333,0
"1,70721E+18",1,0.0,1,0.333,0
"1,70722E+18",1,0.0,1,0.333,0
"1,70723E+18",1,0.0,1,0.333,0
"1,70725E+18",5,0.5333333333333333,5,0.365,0
"1,70726E+18",3,1.0,2,0.335,0
"1,70731E+18",1,0.0,2,0.34,0
"1,70732E+18",1,0.0,3,0.347,0
"1,70733E+18",3,0.0,9,0.392,0
"1,70734E+18",4,0.0208333333333333,9,0.394,0
"1,70735E+18",1,0.0,2,0.34,0
"1,70739E+18",1,0.0,2,0.34,0
"1,7073E+18",1,0.0,3,0.347,0
"1,70742E+18",1,0.0,2,0.34,0
"1,7E+18",1,0.0,2,0.34,0
