visitor_id,nb_sessions,avg_days_between_sessions,nb_unique_documents,engagement_score,return_rate,visitor_type,browser_clean,os_clean,source_clean,medium_clean,avg_time_on_content,nb_unique_documents_viewed,device_type,is_disengaged
"1,69934E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,macOS,Referral,Direct,5,1,ordinateur,1
"1,69936E+18",2,8.5,1,0.249,0.1052631578947368,Mixte,Firefox,Windows,Referral,Direct,10,1,ordinateur,1
"1,69939E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,6993E+18",1,0.0,1,0.333,1.0,Nouveau,Edge,Windows,Referral,Direct,5,1,ordinateur,1
"1,69943E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69945E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Autre,Referral,Direct,5,1,ordinateur,1
"1,69952E+18",5,3.25,4,0.331,0.2352941176470588,Mixte,Firefox,Windows,Referral,Direct,25,4,ordinateur,1
"1,69953E+18",2,0.7142857142857143,3,0.342,0.5833333333333333,Mixte,Edge,Windows,Referral,Direct,10,3,ordinateur,1
"1,69954E+18",2,0.0769230769230769,6,0.369,0.9285714285714286,Mixte,Chrome,Windows,Referral,Direct,10,6,ordinateur,1
"1,69955E+18",1,0.0,1,0.333,1.0,Nouveau,Firefox,Windows,Referral,Direct,5,1,ordinateur,1
"1,69956E+18",3,0.0,4,0.359,1.0,Mixte,Chrome,Windows,Referral,Direct,15,4,ordinateur,1
"1,69957E+18",4,1.894736842105263,7,0.362,0.3454545454545455,Mixte,Chrome,Windows,Referral,Direct,20,7,ordinateur,1
"1,69957E+18",4,1.894736842105263,7,0.362,0.3454545454545455,Mixte,Chrome,Windows,Referral,Direct,20,7,ordinateur,1
"1,69957E+18",4,1.894736842105263,7,0.362,0.3454545454545455,Mixte,Chrome,Windows,Referral,Referral,20,7,ordinateur,1
"1,69957E+18",4,1.894736842105263,7,0.362,0.3454545454545455,Mixte,Chrome,Windows,Referral,Referral,20,7,ordinateur,1
"1,69958E+18",1,0.0,5,0.36,1.0,Mixte,Safari,macOS,Referral,Direct,5,5,ordinateur,1
"1,69959E+18",1,0.0,1,0.333,1.0,Nouveau,Safari,macOS,Referral,Direct,5,1,ordinateur,1
"1,69961E+18",1,0.0,2,0.34,1.0,Nouveau,Edge,Windows,Referral,Direct,5,2,ordinateur,1
"1,69962E+18",3,1.0,2,0.335,0.5,Mixte,Safari,Windows,Referral,Direct,15,2,ordinateur,1
"1,69963E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69964E+18",1,0.0,2,0.34,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,2,ordinateur,1
"1,69966E+18",1,0.0,1,0.333,1.0,Nouveau,Edge,macOS,Referral,Direct,5,1,ordinateur,1
